"brokered_by","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","prev_sold_date"
110098,"for_sale                      ",455000,3,3,"0.25",500274,"Omaha","Nebraska                      ","68154",3162,"2006-12-01"
64962,"for_sale                      ",375000,4,3,"0.38",576957,"Omaha","Nebraska                      ","68144",2724,"2016-08-30"
67258,"for_sale                      ",435000,4,3,"0.18",1687606,"Omaha","Nebraska                      ","68142",2698,"2017-10-27"
8035,"for_sale                      ",475000,3,3,"0.24",497449,"Omaha","Nebraska                      ","68130",3337,"2000-12-20"
67749,"for_sale                      ",549000,4,3,"0.24",493357,"Omaha","Nebraska                      ","68116",3430,"2009-09-15"
11296,"for_sale                      ",769900,3,4,"0.05",1100833,"Omaha","Nebraska                      ","68105",2571,NULL
11472,"for_sale                      ",365000,4,2,"0.25",1077713,"Omaha","Nebraska                      ","68144",2329,"2021-08-03"
11472,"for_sale                      ",300000,3,2,"0.2",1687710,"Omaha","Nebraska                      ","68122",1467,"2021-03-05"
105426,"for_sale                      ",995500,5,3,"4.82",1524401,"Omaha","Nebraska                      ","68152",3015,NULL
58476,"for_sale                      ",650000,5,5,"0.29",429271,"Omaha","Nebraska                      ","68116",4879,"2021-08-18"
8035,"for_sale                      ",225000,3,3,"0.13",1443014,"Omaha","Nebraska                      ","68164",1490,"2000-04-21"
67749,"for_sale                      ",199000,4,2,"0.23",1623069,"Omaha","Nebraska                      ","68112",1494,"2002-06-24"
11472,"for_sale                      ",373575,3,3,"0.1",489373,"Omaha","Nebraska                      ","68118",1843,"2021-12-03"
67749,"for_sale                      ",299900,3,3,"0.22",412929,"Omaha","Nebraska                      ","68137",2197,NULL
67749,"for_sale                      ",325000,4,3,"0.33",245938,"Omaha","Nebraska                      ","68137",2915,NULL
71735,"for_sale                      ",365000,4,3,"0.2",743149,"Omaha","Nebraska                      ","68144",3203,"2017-06-19"
33718,"for_sale                      ",417000,4,4,"0.25",292220,"Omaha","Nebraska                      ","68130",3090,"2013-03-18"
110098,"for_sale                      ",279900,4,3,"0.2",829270,"Omaha","Nebraska                      ","68130",3590,"2018-12-21"
8035,"for_sale                      ",250000,2,3,"0.2",267465,"Omaha","Nebraska                      ","68164",1582,"2015-06-05"
11472,"for_sale                      ",570000,4,5,"0.19",253280,"Omaha","Nebraska                      ","68142",3690,"2019-11-26"
79221,"for_sale                      ",525000,5,3,"0.23",1506366,"Omaha","Nebraska                      ","68022",3230,"2021-05-21"
80543,"for_sale                      ",245000,4,3,"0.2",372830,"Omaha","Nebraska                      ","68137",1742,"2022-01-10"
11472,"for_sale                      ",230000,3,3,"0.57",1151121,"Omaha","Nebraska                      ","68022",1684,"1997-01-28"
8035,"for_sale                      ",265000,3,2,"0.12",498192,"Omaha","Nebraska                      ","68116",1450,NULL
86561,"for_sale                      ",160000,2,2,"0.14",1064714,"Omaha","Nebraska                      ","68105",1268,"2005-09-15"
67257,"for_sale                      ",225000,3,2,"0.15",407709,"Omaha","Nebraska                      ","68137",1599,"2013-07-22"
67256,"for_sale                      ",135000,3,1,"0.1",1178550,"Omaha","Nebraska                      ","68107",1196,"2020-06-29"
8035,"for_sale                      ",232000,3,3,"0.21",1833323,"Omaha","Nebraska                      ","68134",2469,"1994-03-04"
8035,"for_sale                      ",850000,4,5,"0.39",284491,"Omaha","Nebraska                      ","68124",4762,"2016-06-27"
52721,"for_sale                      ",160000,2,2,"0.14",1586909,"Omaha","Nebraska                      ","68104",1224,"2014-10-22"
8035,"for_sale                      ",140000,2,1,"0.15",751126,"Omaha","Nebraska                      ","68104",813,"2010-12-27"
74296,"for_sale                      ",185000,3,2,"0.2",1734995,"Omaha","Nebraska                      ","68134",1100,"2019-04-25"
67259,"for_sale                      ",299000,3,2,"0.17",1288860,"Omaha","Nebraska                      ","68132",2119,"2006-10-04"
67749,"for_sale                      ",350000,4,4,"0.2",1514626,"Omaha","Nebraska                      ","68116",2998,"2017-04-21"
8035,"for_sale                      ",450000,4,3,"0.18",539891,"Omaha","Nebraska                      ","68022",2865,"2018-01-12"
