"brokered_by","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","prev_sold_date"
100303,"for_sale                      ",278000,2,2,"0.12",399159,"Humboldt","Iowa                          ","50548",1400,NULL
46156,"for_sale                      ",149900,2,2,"0.11",938907,"Humboldt","Iowa                          ","50548",1036,"2020-06-24"
34568,"for_sale                      ",250000,2,1,"0.31",1771869,"Humboldt","Iowa                          ","50548",1536,"2018-04-10"
52721,"for_sale                      ",125000,1,1,"0.43",643373,"Alta","Iowa                          ","51002",1632,NULL
82509,"for_sale                      ",249000,3,3,"0.32",295277,"Storm Lake","Iowa                          ","50588",2320,NULL
82509,"for_sale                      ",263300,5,3,"0.32",287117,"Storm Lake","Iowa                          ","50588",2320,NULL
82509,"for_sale                      ",248000,2,2,"3.39",614400,"Storm Lake","Iowa                          ","50588",1005,NULL
82509,"for_sale                      ",391000,3,2,"3.39",614392,"Storm Lake","Iowa                          ","50588",1568,NULL
82509,"for_sale                      ",246000,2,2,"3.39",614393,"Storm Lake","Iowa                          ","50588",988,NULL
82509,"for_sale                      ",412000,3,2,"3.39",614388,"Storm Lake","Iowa                          ","50588",1568,NULL
82509,"for_sale                      ",247000,2,2,"3.39",614397,"Storm Lake","Iowa                          ","50588",988,NULL
53999,"for_sale                      ",335000,3,3,"0.27",806042,"Fort Dodge","Iowa                          ","50501",1677,NULL
31087,"for_sale                      ",68000,3,3,"0.15",290310,"Fort Dodge","Iowa                          ","50501",2993,NULL
40833,"for_sale                      ",55000,6,2,"0.11",1715915,"Fort Dodge","Iowa                          ","50501",1930,NULL
57463,"for_sale                      ",69900,4,3,"0.16",220630,"Fort Dodge","Iowa                          ","50501",2156,"2006-07-11"
31087,"for_sale                      ",96000,3,2,"0.16",577076,"Fort Dodge","Iowa                          ","50501",1765,"2005-03-16"
40833,"for_sale                      ",59900,2,1,"0.22",140543,"Fort Dodge","Iowa                          ","50501",1176,"2004-11-23"
22051,"for_sale                      ",299900,5,3,"0.76",1355379,"Fort Dodge","Iowa                          ","50501",4304,NULL
53999,"for_sale                      ",69900,4,2,"0.29",698288,"Fort Dodge","Iowa                          ","50501",1239,NULL
53999,"for_sale                      ",69900,2,1,"0.11",1167122,"Fort Dodge","Iowa                          ","50501",704,NULL
57463,"for_sale                      ",149000,3,3,"0.15",297305,"Fort Dodge","Iowa                          ","50501",1407,"2012-01-05"
84788,"for_sale                      ",134900,2,1,"0.36",723956,"Fort Dodge","Iowa                          ","50501",1395,"2012-03-26"
81541,"for_sale                      ",208500,4,3,"0.21",487744,"Fort Dodge","Iowa                          ","50501",3016,"2014-05-28"
30554,"for_sale                      ",172900,3,2,"0.54",730361,"Fort Dodge","Iowa                          ","50501",1288,NULL
36278,"for_sale                      ",77000,3,2,"0.16",287150,"Fort Dodge","Iowa                          ","50501",1179,NULL
40833,"for_sale                      ",71900,2,1,"0.13",657956,"Fort Dodge","Iowa                          ","50501",640,"2021-10-15"
57463,"for_sale                      ",149900,3,3,"0.16",445915,"Fort Dodge","Iowa                          ","50501",1460,"2018-07-05"
53999,"for_sale                      ",119500,3,1,"0.16",832045,"Fort Dodge","Iowa                          ","50501",988,NULL
53999,"for_sale                      ",65000,12,4,"0.14",940024,"Fort Dodge","Iowa                          ","50501",2228,NULL
81541,"for_sale                      ",289900,4,3,"0.24",225409,"Fort Dodge","Iowa                          ","50501",2462,"2020-11-24"
53999,"for_sale                      ",75000,2,1,"0.11",1595472,"Fort Dodge","Iowa                          ","50501",1061,"2018-05-15"
53999,"for_sale                      ",240000,5,2,"2.5",721015,"Fort Dodge","Iowa                          ","50501",2320,NULL
22051,"for_sale                      ",152900,2,2,"0.12",464926,"Fort Dodge","Iowa                          ","50501",1054,"2013-04-30"
57463,"for_sale                      ",319900,4,3,"0.21",706396,"Fort Dodge","Iowa                          ","50501",1418,"2019-03-15"
53999,"for_sale                      ",54900,3,2,"0.14",234130,"Manson","Iowa                          ","50563",1270,NULL
46156,"for_sale                      ",184900,3,2,"0.35",932134,"Dakota City","Iowa                          ","50529",1444,"2021-10-19"
92446,"for_sale                      ",222000,3,3,"0.22",1339606,"Humboldt","Iowa                          ","50548",1794,"2019-09-06"
100303,"for_sale                      ",255000,3,3,"0.26",1333802,"Humboldt","Iowa                          ","50548",1624,NULL
100303,"for_sale                      ",285000,2,2,"0.12",396743,"Humboldt","Iowa                          ","50548",1400,NULL
53999,"for_sale                      ",434900,3,2,"0.39",69487,"Fort Dodge","Iowa                          ","50501",3008,NULL
22051,"for_sale                      ",114900,4,1,"0.11",717522,"Fort Dodge","Iowa                          ","50501",1120,"2020-07-16"
33985,"for_sale                      ",57500,4,1,"0.26",1500526,"Rockwell City","Iowa                          ","50579",1400,"2009-12-16"
27407,"for_sale                      ",179900,4,2,"0.34",1618533,"Rockwell City","Iowa                          ","50579",2240,"2018-10-26"
81541,"for_sale                      ",189500,4,3,"0.2",210837,"Fort Dodge","Iowa                          ","50501",1600,"2014-07-16"
30590,"for_sale                      ",850000,4,3,"4.74",1766229,"Estherville","Iowa                          ","51334",5078,NULL
30505,"for_sale                      ",148500,3,2,"0.37",201815,"Wallingford","Iowa                          ","51365",2253,NULL
33718,"for_sale                      ",325000,3,3,"3.08",534790,"Estherville","Iowa                          ","51334",2573,NULL
33718,"for_sale                      ",196000,3,2,"0.28",1566051,"Estherville","Iowa                          ","51334",1472,NULL
21145,"for_sale                      ",99900,3,2,"0.53",620741,"Estherville","Iowa                          ","51334",1544,"2006-06-23"
21145,"for_sale                      ",128900,4,3,"0.17",460307,"Estherville","Iowa                          ","51334",1931,"2017-12-18"
88192,"for_sale                      ",355000,4,2,"6",1103233,"Estherville","Iowa                          ","51334",2016,NULL
12549,"for_sale                      ",239900,4,2,"0.72",714185,"Wallingford","Iowa                          ","51365",1856,NULL
21145,"for_sale                      ",239900,6,4,"0.2",105379,"Estherville","Iowa                          ","51334",1760,NULL
30590,"for_sale                      ",116500,4,2,"0.2",206394,"Estherville","Iowa                          ","51334",2506,"2019-08-13"
30590,"for_sale                      ",129900,4,2,"0.3",99943,"Estherville","Iowa                          ","51334",1766,"2014-09-16"
